OrderDate;DueDate;ShipDate;SalesOrderNumber;CustomerKey;Customer;BusinessType;Continent;CountryName;StateCode;StateName;CityName;ProductKey;ProductName;SubcategoryName;ProductSize;ProductDetail;CategoryName;OrderQuantity;UnitPrice;UnitCost;Discount %
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;296;STEAK in Powder;Beef Protein;4lbs;Vanilla;Protein;1;$714.704;$214.413;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;304;STEAK in Powder;Beef Protein;4lbs;Banana;Protein;2;$714.704;$214.413;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;293;STEAK in Powder;Beef Protein;4lbs;Coconut;Protein;2;$722.595;$216.780;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;300;STEAK in Powder;Beef Protein;5lbs;Cookies;Protein;1;$809.760;$242.931;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;292;STEAK in Powder;Beef Protein;5lbs;Chocolate;Protein;2;$818.700;$245.610;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;350;Hydrolyzed Whey Protein;Whey Protein;5lbs;Caramel Ice Cream;Protein;2;$2024.994;$580.017;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;351;Isolate Whey Protein;Whey Protein;5lbs;Cookies;Protein;2;$2024.994;$569.394;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;348;Isolate Whey Protein;Whey Protein;5lbs;Peanut Butter;Protein;3;$2024.994;$574.608;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;349;Isolate Whey Protein;Whey Protein;5lbs;Coconut;Protein;4;$2024.994;$572.532;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;2;$2039.994;$574.914;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;1;$178.581;$53.577;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;253;PRO Weight Gainer;Gainer;1lbs;Chocolate;Carbs;3;$178.581;$53.577;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;264;PRO Weight Gainer;Gainer;1lbs;Caramel Ice Cream;Carbs;1;$183.938;$55.182;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;270;PRO Weight Gainer;Gainer;1lbs;Vanilla;Carbs;1;$183.938;$55.182;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;272;PRO Weight Gainer;Gainer;1lbs;Banana;Carbs;2;$183.938;$55.182;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;262;PRO Weight Gainer;Gainer;1lbs;Cookies;Carbs;3;$183.938;$55.182;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;275;PRO Weight Gainer;Gainer;5lbs;Strawberry;Carbs;1;$356.898;$107.070;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;276;PRO Weight Gainer;Gainer;5lbs;Banana;Carbs;1;$356.898;$107.070;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;338;100% Egg Protein;Egg Protein;2lbs;Banana;Protein;2;$419.459;$125.838;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;322;Blended Protein;Blended Protein;2lbs;Vanilla;Protein;3;$419.459;$125.823;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;3;$419.459;$125.838;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;330;Blended Protein;Blended Protein;2lbs;Coconut;Protein;3;$419.459;$125.838;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;3;$419.459;$125.838;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;3;$419.459;$125.838;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;326;Blended Protein;Blended Protein;2lbs;Peanut Butter;Protein;5;$419.459;$125.838;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;342;Hydrolyzed Whey Protein;Whey Protein;1lbs;Banana;Protein;5;$419.459;$125.760;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;316;Hydrolyzed Whey Protein;Whey Protein;2lbs;Peanut Butter;Protein;1;$874.794;$262.440;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;317;Hydrolyzed Whey Protein;Whey Protein;2lbs;Coconut;Protein;1;$874.794;$262.440;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;315;Hydrolyzed Whey Protein;Whey Protein;2lbs;Vanilla;Protein;4;$874.794;$262.362;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;319;Hydrolyzed Whey Protein;Whey Protein;2lbs;Chocolate;Protein;6;$874.794;$262.440;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;310;Hydrolyzed Whey Protein;Whey Protein;5lbs;Chocolate;Protein;1;$2146.962;$644.091;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;314;Hydrolyzed Whey Protein;Whey Protein;5lbs;Vanilla;Protein;1;$2146.962;$644.091;1.99%
29/12/2010;10/01/2011;05/01/2011;SO43663;510;Planet Granite;Gym;North America;United States;CA;California;Trabuco Canyon;322;Blended Protein;Blended Protein;2lbs;Vanilla;Protein;1;$419.459;$125.823;1.31%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;229;Long-Sleeve Logo Jersey;Jerseys;M;Red;Clothing;1;$28.840;$8.655;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;235;Long-Sleeve Logo Jersey;Jerseys;XL;Red;Clothing;1;$28.840;$8.655;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;351;Isolate Whey Protein;Whey Protein;5lbs;Cookies;Protein;1;$2024.994;$569.394;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;350;Hydrolyzed Whey Protein;Whey Protein;5lbs;Caramel Ice Cream;Protein;2;$2024.994;$580.017;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;348;Isolate Whey Protein;Whey Protein;5lbs;Peanut Butter;Protein;4;$2024.994;$574.608;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;345;Hydrolyzed Whey Protein;Whey Protein;5lbs;Strawberry;Protein;1;$2039.994;$579.975;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;1;$2039.994;$574.914;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43664;397;Nutrition Macho;Supplement Store;North America;United States;WA;Washington;Seattle;344;Hydrolyzed Whey Protein;Whey Protein;5lbs;Capuccino;Protein;3;$2039.994;$574.935;1.56%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;2;$5.187;$1.557;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;218;Gym Sports Socks;Socks;M;Black;Clothing;6;$5.700;$1.698;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;212;Opti-Women Multivitamin;Vitamins;60 Capsules;NA;Vitamins;1;$20.187;$6.057;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;220;Platinum Multivitamin For Her;Vitamins;90 Tablets;NA;Vitamins;2;$20.187;$6.057;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;232;Long-Sleeve Logo Jersey;Jerseys;L;Red;Clothing;2;$28.840;$8.646;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;349;Isolate Whey Protein;Whey Protein;5lbs;Coconut;Protein;1;$2024.994;$572.532;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;351;Isolate Whey Protein;Whey Protein;5lbs;Cookies;Protein;1;$2024.994;$569.394;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;348;Isolate Whey Protein;Whey Protein;5lbs;Peanut Butter;Protein;2;$2024.994;$574.608;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;350;Hydrolyzed Whey Protein;Whey Protein;5lbs;Caramel Ice Cream;Protein;2;$2024.994;$580.017;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;1;$2039.994;$574.914;2.89%
29/12/2010;10/01/2011;05/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;275;PRO Weight Gainer;Gainer;5lbs;Strawberry;Carbs;1;$356.898;$107.070;3.95%
29/12/2010;10/01/2011;05/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;330;Blended Protein;Blended Protein;2lbs;Coconut;Protein;1;$419.459;$125.838;3.95%
29/12/2010;10/01/2011;05/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;1;$419.459;$125.838;3.95%
29/12/2010;10/01/2011;05/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;338;100% Egg Protein;Egg Protein;2lbs;Banana;Protein;2;$419.459;$125.838;3.95%
29/12/2010;10/01/2011;05/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;317;Hydrolyzed Whey Protein;Whey Protein;2lbs;Coconut;Protein;1;$874.794;$262.440;3.95%
29/12/2010;10/01/2011;05/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;314;Hydrolyzed Whey Protein;Whey Protein;5lbs;Vanilla;Protein;1;$2146.962;$644.091;3.95%
29/12/2010;10/01/2011;05/01/2011;SO43667;646;Next Age Fitness;Gym;North America;United States;MO;Missouri;Saint Louis;219;Gym Sports Socks;Socks;L;Black;Clothing;3;$5.700;$1.710;2.57%
29/12/2010;10/01/2011;05/01/2011;SO43667;646;Next Age Fitness;Gym;North America;United States;MO;Missouri;Saint Louis;348;Isolate Whey Protein;Whey Protein;5lbs;Peanut Butter;Protein;1;$2024.994;$574.608;2.57%
29/12/2010;10/01/2011;05/01/2011;SO43667;646;Next Age Fitness;Gym;North America;United States;MO;Missouri;Saint Louis;351;Isolate Whey Protein;Whey Protein;5lbs;Cookies;Protein;1;$2024.994;$569.394;2.57%
29/12/2010;10/01/2011;05/01/2011;SO43667;646;Next Age Fitness;Gym;North America;United States;MO;Missouri;Saint Louis;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;1;$2039.994;$574.914;2.57%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;4;$5.187;$1.557;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;215;Women Multivitamin;Vitamins;120 Capsules;NA;Vitamins;1;$20.187;$6.057;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;212;Opti-Women Multivitamin;Vitamins;60 Capsules;NA;Vitamins;2;$20.187;$6.057;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;220;Platinum Multivitamin For Her;Vitamins;90 Tablets;NA;Vitamins;2;$20.187;$6.057;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;235;Long-Sleeve Logo Jersey;Jerseys;XL;Red;Clothing;1;$28.840;$8.655;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;229;Long-Sleeve Logo Jersey;Jerseys;M;Red;Clothing;4;$28.840;$8.655;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;232;Long-Sleeve Logo Jersey;Jerseys;L;Red;Clothing;6;$28.840;$8.646;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;253;PRO Weight Gainer;Gainer;1lbs;Chocolate;Carbs;3;$178.581;$53.577;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;3;$178.581;$53.577;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;262;PRO Weight Gainer;Gainer;1lbs;Cookies;Carbs;2;$183.938;$55.182;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;270;PRO Weight Gainer;Gainer;1lbs;Vanilla;Carbs;2;$183.938;$55.182;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;264;PRO Weight Gainer;Gainer;1lbs;Caramel Ice Cream;Carbs;3;$183.938;$55.182;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;272;PRO Weight Gainer;Gainer;1lbs;Banana;Carbs;6;$183.938;$55.182;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;276;PRO Weight Gainer;Gainer;5lbs;Banana;Carbs;3;$356.898;$107.070;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;275;PRO Weight Gainer;Gainer;5lbs;Strawberry;Carbs;4;$356.898;$107.070;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;330;Blended Protein;Blended Protein;2lbs;Coconut;Protein;2;$419.459;$125.838;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;2;$419.459;$125.838;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;338;100% Egg Protein;Egg Protein;2lbs;Banana;Protein;2;$419.459;$125.838;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;342;Hydrolyzed Whey Protein;Whey Protein;1lbs;Banana;Protein;2;$419.459;$125.760;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;324;Blended Protein;Blended Protein;2lbs;Chocolate;Protein;3;$419.459;$125.838;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;3;$419.459;$125.838;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;326;Blended Protein;Blended Protein;2lbs;Peanut Butter;Protein;4;$419.459;$125.838;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;6;$419.459;$125.838;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;322;Blended Protein;Blended Protein;2lbs;Vanilla;Protein;7;$419.459;$125.823;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;315;Hydrolyzed Whey Protein;Whey Protein;2lbs;Vanilla;Protein;2;$874.794;$262.362;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;316;Hydrolyzed Whey Protein;Whey Protein;2lbs;Peanut Butter;Protein;3;$874.794;$262.440;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;317;Hydrolyzed Whey Protein;Whey Protein;2lbs;Coconut;Protein;3;$874.794;$262.440;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;319;Hydrolyzed Whey Protein;Whey Protein;2lbs;Chocolate;Protein;6;$874.794;$262.440;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;314;Hydrolyzed Whey Protein;Whey Protein;5lbs;Vanilla;Protein;2;$2146.962;$644.091;2.72%
29/12/2010;10/01/2011;05/01/2011;SO43669;578;Storely;Warehouse;North America;United States;WA;Washington;Puyallup;304;STEAK in Powder;Beef Protein;4lbs;Banana;Protein;1;$714.704;$214.413;4.14%
29/12/2010;10/01/2011;05/01/2011;SO43670;504;My Health Fitness;Gym;North America;United States;MI;Michigan;Redford;219;Gym Sports Socks;Socks;L;Black;Clothing;1;$5.700;$1.710;2.65%
29/12/2010;10/01/2011;05/01/2011;SO43670;504;My Health Fitness;Gym;North America;United States;MI;Michigan;Redford;218;Gym Sports Socks;Socks;M;Black;Clothing;2;$5.700;$1.698;2.65%
29/12/2010;10/01/2011;05/01/2011;SO43670;504;My Health Fitness;Gym;North America;United States;MI;Michigan;Redford;349;Isolate Whey Protein;Whey Protein;5lbs;Coconut;Protein;1;$2024.994;$572.532;2.65%
29/12/2010;10/01/2011;05/01/2011;SO43670;504;My Health Fitness;Gym;North America;United States;MI;Michigan;Redford;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;2;$2039.994;$574.914;2.65%
29/12/2010;10/01/2011;05/01/2011;SO43671;200;Nutrition Active;Supplement Store;North America;United States;WA;Washington;Port Orchard;215;Women Multivitamin;Vitamins;120 Capsules;NA;Vitamins;1;$20.187;$6.057;2.61%
29/12/2010;10/01/2011;05/01/2011;SO43671;200;Nutrition Active;Supplement Store;North America;United States;WA;Washington;Port Orchard;220;Platinum Multivitamin For Her;Vitamins;90 Tablets;NA;Vitamins;1;$20.187;$6.057;2.61%
29/12/2010;10/01/2011;05/01/2011;SO43671;200;Nutrition Active;Supplement Store;North America;United States;WA;Washington;Port Orchard;235;Long-Sleeve Logo Jersey;Jerseys;XL;Red;Clothing;1;$28.840;$8.655;2.61%
29/12/2010;10/01/2011;05/01/2011;SO43671;200;Nutrition Active;Supplement Store;North America;United States;WA;Washington;Port Orchard;229;Long-Sleeve Logo Jersey;Jerseys;M;Red;Clothing;2;$28.840;$8.655;2.61%
29/12/2010;10/01/2011;05/01/2011;SO43671;200;Nutrition Active;Supplement Store;North America;United States;WA;Washington;Port Orchard;275;PRO Weight Gainer;Gainer;5lbs;Strawberry;Carbs;2;$356.898;$107.070;2.61%
29/12/2010;10/01/2011;05/01/2011;SO43671;200;Nutrition Active;Supplement Store;North America;United States;WA;Washington;Port Orchard;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;2;$419.459;$125.838;2.61%
